Identification Number,County,State,Land area,Total population,Percent of population aged 18-34,Percent of population 65 or older,Number of active physicians,Number of hospital beds,Total serious crimes,Percent high school graduates,Percent bachelor degrees,Percent below poverty level,Percent unemployment,Per capita income,Total personal income,Geographic region
2,Cook                   ,IL    ,946,5105067,29.2,12.4,15153,21550,436936,73.4,22.8,11.1,7.2,21729,110928,2
8,Wayne                  ,MI    ,614,2111687,27.4,12.5,3823,9490,193978,70,13.7,16.9,10,17461,36872,2
15,Cuyahoga               ,OH    ,458,1412140,26.3,15.6,5620,8132,73150,74,20.1,11,5.5,21086,29776,2
25,Oakland                ,MI    ,873,1083592,27.6,10.9,4020,3254,50964,84.6,30.2,4.4,7.3,26884,29131,2
27,Hennepin               ,MN    ,557,1032431,31.6,11.3,3706,5395,71753,88.2,31.6,6.4,4.3,23705,24474,2
28,St._Louis              ,MO    ,508,993529,26.1,13.1,1194,1056,42595,82.3,29.2,4,5.1,24219,24062,2
30,Franklin               ,OH    ,540,961437,33.5,9.6,2675,4011,82680,81,26.6,9.1,4.2,19040,18306,2
31,Milwaukee              ,WI    ,242,959275,29.3,13.6,2774,4141,73681,76.3,19.3,12.6,4.9,18431,17680,2
33,Hamilton               ,OH    ,407,866228,28,13.3,3164,4683,57208,75.6,23.7,10.3,4.5,20580,17827,2
45,Marion                 ,IN    ,396,797159,30.6,11.7,2936,4654,61004,76.8,21.4,9.3,5,19148,15264,2
46,DuPage                 ,IL    ,334,781666,29,8.7,2157,1842,29708,88.6,36,1.7,4.8,26772,20927,2
54,Macomb                 ,MI    ,480,717400,28.2,12.3,705,1202,41048,76.9,13.5,4,9.4,20924,15011,2
71,Jackson                ,MO    ,605,633232,28.1,13.1,1695,3762,61760,79.5,20,9.8,6.5,18611,11785,2
80,Montgomery             ,OH    ,462,573809,28.1,12.6,1313,3068,36665,77.8,20,9.8,5.7,18410,10564,2
87,Lake                   ,IL    ,448,516418,28.9,8.4,1093,1499,22349,84.7,32,3.7,4.6,27378,14138,2
88,Summit                 ,OH    ,413,514990,26.8,13.8,1216,2226,26228,78.3,19.7,9.5,6,18583,9570,2
94,Kent                   ,MI    ,856,500631,29.6,10.8,1007,1460,31553,80.3,20.7,6.9,7.5,18674,9349,2
97,Ramsey                 ,MN    ,156,485765,31,12.2,1512,1140,30574,85,28.8,8.1,4.3,20303,9862,2
100,Lake                   ,IN    ,497,475594,25.5,12.3,707,2413,29926,73.5,12.8,11.7,7.1,16327,7765,2
104,Lucas                  ,OH    ,340,462361,27.8,13,1391,3021,38194,76.2,17,12,8.8,17815,8237,2
113,Genesee                ,MI    ,640,430459,27.2,10.2,692,1830,33136,76.8,12.8,14,12.6,16829,7244,2
